id,smiles,dG,code,train_test,3,smiles_len
110_,CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)O)O[C@H]3[C@H](C=C4)O,-5.43,labeled_pubchem,train,,61
111_,C1CCC2=NC3=CC=CC=C3C(=C2C1)NCCN4C=C(N=N4)CCCCCC[N+]5=C6C=C(C=CC6=C7C=CC(=CC7=C5C8=CC=CC=C8)N)N,-7.66,labeled_pubchem,train,,94
112_,C1CCC2=NC3=CC=CC=C3C(=C2C1)NCCN4C(=CN=N4)CCCCCC[N+]5=C6C=C(C=CC6=C7C=CC(=CC7=C5C8=CC=CC=C8)N)N,-9.24,labeled_pubchem,train,,94
113_,CN1CC[C@]23CCCC[C@H]2[C@H]1CC4=C3C=C(C=C4)O,-6.3,labeled_pubchem,train,,43
114_,C=CCN1CC[C@]23CCCC[C@H]2[C@H]1CC4=C3C=C(C=C4)O,-6.74,labeled_pubchem,train,,46
115_,C1N(CCN(C1)/C(=N\C(=NC2=CC=C(C=C2)Cl)N)/N)/C(=N\C(=NC3=CC=C(C=C3)Cl)N)/N,-6.3,labeled_pubchem,train,,72
116_,CC1=C[C@H]2CC3=C(C=CC(=O)N3)[C@@]4(C1)[C@@H]2CCCN4,-9.98,labeled_pubchem,train,,50
117_,C1=CC=C(C(=C1)/C/2=C/3\C=C/C(=C(/C4=CC=C(N4)/C(=C\5/C=CC=CC5=O)/C6=CC=C(N6)/C(=C\7/C=CC=CC7=O)/C8=CC=C2N8)\C9=CC=CC=C9O)/N3)O,-6.49,labeled_pubchem,train,,125
118_,CC(=CCC/C(=C/CC1=C(C2=C(C=C1O)O[C@@H](CC2=O)C3=CC=C(C=C3)O)O)/C)C,-5.37,labeled_pubchem,train,test,65
119_,C=CCN1CC[C@@]23CCCC[C@@H]2[C@@H]1CC4=C3C=C(C=C4)O,-6.43,labeled_pubchem,train,,49
120_,C1N(CCN(C1)/C(=N/C(=NC2=CC(=CC=C2)Cl)N)/N)/C(=N/C(=NC3=CC(=CC=C3)Cl)N)/N,-7.33,labeled_pubchem,train,test,72
121_,C1N(CCN(C1)/C(=N/C(=NC2=CC=C(C=C2)Br)N)/N)/C(=N/C(=NC3=CC=C(C=C3)Br)N)/N,-6.79,labeled_pubchem,train,,72
122_,C1N(CCN(C1)/C(=N/C(=NC2=CC=C(C=C2)F)N)/N)/C(=N/C(=NC3=CC=C(C=C3)F)N)/N,-6.78,labeled_pubchem,train,,70
123_,CC1=CC=C(C=C1)N=C(/N=C(/N2CCN(CC2)/C(=N/C(=NC3=CC=C(C=C3)C)N)/N)\N)N,-6.89,labeled_pubchem,train,,68
124_,C1=C/C(=C\NNC(=O)NC2=CC=NC=C2)/C(=O)C=C1,-6.29,labeled_pubchem,train,,40
125_,C1=CC=C(C=C1)C2=C3C=CC(=C(C4=CC=C([N-]4)C(=C5C=CC(=N5)C(=C6C=CC2=N6)C7=CC=CC=C7)C8=CC=CC=C8)C9=CC=CC=C9)[N-]3.[Zn+2],-7.21,labeled_pubchem,train,,116
126_,C1CCC2=NC3=CC=CC=C3C(=C2C1)NCCCCCCCCSC4=C5CCCCC5=NC6=CC=CC=C64,-9.0,labeled_pubchem,train,,62
127_,C1=CC(=CC=C1C=O)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O,-8.4,labeled_pubchem,train,,60
128_,C1CCC2=NC3=CC=CC=C3C(=C2C1)NCCCCCCCNC4=C5CCCCC5=NC6=CC=CC=C64,-11.14,labeled_pubchem,train,,61
129_,C1CCC2=NC3=CC=CC=C3C(=C2C1)NCCCCCNC4=C5CCCCC5=NC6=CC=CC=C64,-9.14,labeled_pubchem,train,,59
130_,CC(C)(/C=N/OC(=O)NC)SC,-11.21,labeled_pubchem,train,,22
131_,C/C=C/1\[C@@H]2CC3=C([C@@]1(CC(=C2)C)N)C=CC(=O)N3,-10.97,labeled_pubchem,train,,49
132_,CC1=C(SC=[N+]1C)CCO.[I-],-6.69,labeled_pubchem,train,,24
133_,CN(CC1=CC=CC=C1)CC2=CC=C(C=C2)C3=CC4=CC(=C(C=C4OC3=O)OC)OC,-10.49,labeled_pubchem,train,test,58
134_,CC(C)(C)C1=CC=CC(=C1)C(=O)C(F)(F)F,-15.65,labeled_pubchem,train,,34
135_,C1C2=CC=CC=C2C3=NC4=CC=CC=C4C(=C31)N,-9.14,labeled_pubchem,train,,36
136_,CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCOP(=O)(O)OP(=O)(O)OP(=O)(O)O.[Cl-],-5.93,labeled_pubchem,train,,67
137_,C1CCN(CC1)CCNC(=O)N2C3=CC=CC=C3SC4=CC=CC=C42,-8.5,labeled_pubchem,train,test,44
138_,COC1=C(C=C2C(=C1)CC(C2=O)CCC3CCN(CC3)CC4=CC=CC=C4)OC,-10.32,labeled_pubchem,train,,52
139_,CCOP(=O)(CCC(=O)NCCCNS(=O)(=O)C1=C2C=CC3=CC=CC4=C3C2=C(C=C4)C=C1)F,-5.48,labeled_pubchem,train,,66
140_,CCOP(=O)(CCC(=O)NCCNS(=O)(=O)C1=C2C=CC3=CC=CC4=C3C2=C(C=C4)C=C1)F,-5.48,labeled_pubchem,train,,65
141_,CN(CCCCCC(=O)N(C)CCCCCCCCN(C)C(=O)CCCCCN(C)CC1=CC=CC=C1OC)CC2=CC=CC=C2OC,-10.59,labeled_pubchem,train,,72
142_,CC1=CC2CC(C1)C3=C(C4=C(C=C(C=C4)Cl)N=C3C2)N,-14.35,labeled_pubchem,train,,43
143_,C/C=C/1\C2CC3=C(C1CC(=C2)C)C=CC(=O)N3,-7.8,labeled_pubchem,train,,37
144_,C1=CC=C(C=C1)/C=N/NC(=O)NC2=CC=NC=C2,-5.55,labeled_pubchem,train,,36
145_,C[C@@H]([C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@@H]4[C@@]3(CC[C@@H](C4)N(C)C(=O)/C=C/C5=CC=CC=C5)C)C)N(C)C,-6.73,labeled_pubchem,train,,107
146_,C1CCN(C1)CCNC(=O)N2C3=CC=CC=C3SC4=CC=CC=C42,-6.2,labeled_pubchem,train,,43
147_,CC(=O)N(CCCNC1=C2CCCCC2=NC3=CC=CC=C31)CCCNC4=C5CCCCC5=NC6=CC=CC=C64,-7.97,labeled_pubchem,train,,67
148_,C1=CC(=C(C=C1F)F)C2=C3C=CC(=C(C4=CC=C(N4)C(=C5C=CC(=N5)C(=C6C=CC2=N6)C7=C(C=C(C=C7)F)F)C8=C(C=C(C=C8)F)F)C9=C(C=C(C=C9)F)F)N3,-11.1,labeled_pubchem,train,test,125
149_,CCN(CCCCCC(=O)N(C)CCCCCCCCN(C)C(=O)CCCCCN(CC)CC1=CC=CC=C1OC)CC2=CC=CC=C2OC,-10.83,labeled_pubchem,train,,74
150_,CCCCCCCSC(=O)OCC[N+](C)(C)C,-6.43,labeled_pubchem,train,,27
151_,C[N+]1=CC(=C(C=C1)C2=C3C=CC(=C(C4=CC=C(N4)C(=C5C=CC(=N5)C(=C6C=CC2=N6)C7=C(C=[N+](C=C7)C)F)C8=C(C=[N+](C=C8)C)F)C9=C(C=[N+](C=C9)C)F)N3)F,-7.55,labeled_pubchem,train,,137
152_,CCCCCSC(=O)OCC[N+](C)(C)C,-7.86,labeled_pubchem,train,,25
153_,COC1=C(C=C2C(=C1)CC(C2=O)C3CCN(CC3)CC4=CC=CC=C4)OC,-9.79,labeled_pubchem,train,,50
154_,CN(CCCNC1=C2CCCCC2=NC3=CC=CC=C31)CCCNC4=C5CCCCC5=NC6=CC=CC=C64,-12.19,labeled_pubchem,train,,62
155_,CC(C1=CC=CC=C1)(C2=CC=CC=C2)C(=O)OCC3=C(C=CC=[N+]3C)OC(=O)N(C)C,-7.19,labeled_pubchem,train,test,63
156_,COC1=CC2=C(C=C1)C(=O)/C(=C/C3CCN(CC3)CC4=CC=CC=C4)/C2,-10.32,labeled_pubchem,train,,53
157_,C1CCC2=NC3=CC=CC=C3C(=C2C1)NCCCCCCCCNC4=C5CCCCC5=NC6=CC=CC=C64,-11.94,labeled_pubchem,train,,62
158_,C1CCC2=C(C1)C3=C(S2)N=CN4C3=NCCC4,-7.83,labeled_pubchem,train,test,33
159_,CC(=O)NC1=C(C=NC=C1)N,-6.14,labeled_pubchem,train,,21
160_,COC1=C(C=C2C(=C1)C/C(=C\C3CCN(CC3)CC4=CC=CC=C4)/C2=O)OC,-10.21,labeled_pubchem,train,,55
161_,COC1=CC2=C(C/C(=C\C3CCN(CC3)CC4=CC=CC=C4)/C2=O)C=C1,-9.02,labeled_pubchem,train,,51
162_,C1CCC2=NC3=C(C(=CC(=C3)Cl)Cl)C(=C2C1)N,-12.32,labeled_pubchem,train,,38
163_,C1CCC2=NC3=CC=CC=C3C(=C2C1)NCCCCCCCNC4=C5CCCCC5=NC6=C4C(=CC(=C6)Cl)Cl,-11.26,labeled_pubchem,train,,69
164_,C1CCC2=NC3=C(C(=CC(=C3)Cl)Cl)C(=C2C1)NCCCCCCCNC4=C5CCCCC5=NC6=C4C(=CC(=C6)Cl)Cl,-9.34,labeled_pubchem,train,,79
165_,C1=CC(=C(C=C1O)/C/2=C/3\C=C/C(=C(/C4=CC=C(N4)/C(=C\5/C=C/C(=C(/C6=CC=C2N6)\C7=C(C=CC(=C7)O)O)/N5)/C8=C(C=CC(=C8)O)O)\C9=CC(=O)C=CC9=O)/N3)O,-7.67,labeled_pubchem,train,,139
166_,C[C@@H](C1=CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@@H]4[C@@]3(CC[C@@H](C4)N(C)C(=O)/C=C(\C)/C(C)C)C)C)N(C)C,-6.81,labeled_pubchem,train,,102
167_,CN(C)C(=O)OC1=C(N=CC=C1)CO,-5.86,labeled_pubchem,train,,26
