id,smiles,dG,code,train_test,3,smiles_len
855_,C1(=CC2=C(C=C1)[C@H]1[C@@H](CO2)C2=C(O1)C=C(C=C2)OC)O,,chembl_27,pred,,53
856_,C1(=C(C2=C(C=C1)[C@@H]1[C@H](CO2)C2=CC3=C(C=C2O1)OCO3)O)OC,,chembl_27,pred,,58
857_,C1(=CC2=C(C=C1)[C@H]1[C@@H](CO2)C2=C(O1)C=C(C(=C2OC)OC)OC)O,,chembl_27,pred,,59
858_,C1(=CC2=C(C=C1)[C@H]1[C@@H]([C@H](O2)OC)C2=C(O1)C=C(C=C2)OC)OC,,chembl_27,pred,,62
859_,C12=CC=C(C(=C1C=CO2)O)C(=O)C1=CCOC2=CC(=C(C=C12)OC)OC,,chembl_27,pred,,53
860_,C12=CC=C3C(=C1OCO2)O[C@H]1[C@]([C@@H]3O)(C2=C(OC1)C=C1C(=C2)OCO1)O,,chembl_27,pred,,66
861_,C1(=CC=C2C(=C1CC=C(C)C)O[C@H]1[C@H](C2=O)C2=C(OC1)C=C1C(=C2)OCO1)OC,,chembl_27,pred,,67
862_,C12=CC=C3C(=C1OCO2)O[C@H]1[C@H](C3=O)C2=C(OC1)C=C1C(=C2)OCO1,,chembl_27,pred,,60
863_,C1(=CC(=C2C(=C1)OC=C(C2=O)C1=C(C=C(C(=C1)OC)OCC=C(C)C)OC)OC)OC,,chembl_27,pred,,62
864_,C1(=CC=C2C(=C1)OC=C(C2=O)C1=CC=C(C=C1)OCC=C(C)C)OCC=C(C)C,,chembl_27,pred,,57
865_,C1(=CC(=C2C(=C1)OC=C(C2=O)C1=C(C=C(C(=C1)OC)OC)OC)O)OC,,chembl_27,pred,,54
866_,C12=CC(=C3C(=C1C=CC(O2)(C)C)OC=C(C3=O)C1=C(C=C(C(=C1)OC)OC)OC)O,,chembl_27,pred,,63
867_,C1(=C(C(=C2C(=C1)OC=C(C2=O)C1=C(C=C(C(=C1)OC)O)OC)O)CC=C(C)C)O,,chembl_27,pred,,62
868_,C1(=CC(=C2C(=C1)O[C@H]1[C@@H](C2=O)C2=CC(=C(C=C2OC1)OC)OC)O)OC,,chembl_27,pred,,62
869_,C1(=CC(=C2C(=C1)O[C@H]1[C@@](C2=O)(C2=CC(=C(C=C2OC1)OC)OC)O)O)OC,,chembl_27,pred,,64
